qid,risk,gated,action_taken,skip_reason,ent,mnorm,ndcg_base_k0,ndcg_base_k1,ndcg_ours,delta_net
962179,0.979685652519982,0,0,none,3.91119647026062,0.443373934996247,0.8415908474314975,0.8415908474314975,0.8415908474314975,0.0
1117099,0.9783334592139005,0,0,none,3.911942958831787,0.02306514016575747,0.15457433957839825,0.15457433957839825,0.15457433957839825,0.0
148538,0.980202062911326,0,0,none,3.911533832550049,0.4895462432485108,0.4326906600056645,0.4326906600056645,0.4326906600056645,0.0
451602,0.9804758293558635,0,0,none,3.911393880844116,0.2652874394829792,0.4688900081860879,0.4688900081860879,0.4688900081860879,0.0
359349,0.9797338874197876,0,0,none,3.9112160205841064,0.2934589828761182,0.814523443174722,0.814523443174722,0.814523443174722,0.0
1115776,0.9822230934662776,1,1,ce_blend(alpha=0.60),3.910773754119873,0.27243463031739346,0.7674257683595018,0.7674257683595018,0.8086564287254325,0.041230660365930705
1112341,0.9784841555082057,0,0,none,3.9118402004241943,0.06467497337498157,0.21332308679341838,0.21332308679341838,0.21332308679341838,0.0
131843,0.9865850477123639,1,0,confidence_lock,3.910762310028076,1.9351519300585516,0.7125523635307983,0.7125523635307983,0.7125523635307983,0.0
104861,0.9784050826353178,0,0,none,3.9118459224700928,0.02894249909179776,1.0,1.0,1.0,0.0
833860,0.9783644857736696,0,0,none,3.910916566848755,0.09957588385683014,0.9094804842465699,0.9094804842465699,0.9094804842465699,0.0
207786,0.9807418654525691,0,0,none,3.910871744155884,0.1322724560153473,0.3853238305526741,0.3853238305526741,0.3853238305526741,0.0
1114819,0.9789690832313411,0,0,none,3.9113833904266357,0.17439939664596388,0.519461357225654,0.519461357225654,0.519461357225654,0.0
183378,0.9802100639313777,0,0,none,3.911198854446411,0.10211743315360626,1.0,1.0,1.0,0.0
1106007,0.9791401879086713,0,0,none,3.90985369682312,0.12149358631758585,0.8013610844284793,0.8013610844284793,0.8013610844284793,0.0
1124210,0.9813277250391411,1,1,ce_blend_top2lock(alpha=0.60),3.911787748336792,1.4126710171862007,0.0,0.0,0.033635459123878116,0.033635459123878116
490595,0.9799322581809241,0,0,none,3.911076307296753,0.4504899738684313,0.32645934816856337,0.32645934816856337,0.32645934816856337,0.0
1103812,0.9825556291489298,1,1,ce_blend_top2lock(alpha=0.60),3.911457061767578,1.3093391417749394,0.48314422288199843,0.48314422288199843,0.6021536329234976,0.11900941004149912
87181,0.9788413038205811,0,0,none,3.911458730697632,0.08143000296907041,0.3847825451129291,0.3847825451129291,0.3847825451129291,0.0
443396,0.9811046374079684,1,1,ce_blend(alpha=0.60),3.911449432373047,0.6467267389141237,0.1042532534344635,0.1042532534344635,0.22918045032650183,0.12492719689203834
1121709,0.9816673584074503,1,1,ce_blend(alpha=0.60),3.909999370574951,0.3853727138642069,0.5443291304446948,0.5443291304446948,0.6730047896305611,0.12867565918586632
87452,0.9789667130471941,0,0,none,3.9114880561828613,0.09036592932261196,0.2556051829715395,0.2556051829715395,0.2556051829715395,0.0
855410,0.9796385709654645,0,0,none,3.9117820262908936,0.1747060494419319,1.0,1.0,1.0,0.0
1114646,0.9827653923503855,1,1,ce_blend_top2lock(alpha=0.60),3.9112420082092285,0.8606353165859654,0.7052162018715072,0.7052162018715072,0.7980844067893551,0.09286820491784786
19335,0.9790266903548768,0,0,none,3.9119157791137695,0.6386371197459112,0.5100251115403236,0.5100251115403236,0.5100251115403236,0.0
47923,0.9785085726024363,0,0,none,3.9116554260253906,0.08263851810311529,0.6142408770205758,0.6142408770205758,0.6142408770205758,0.0
405717,0.9792111012145662,0,0,none,3.9111721515655518,0.09400391048876645,0.6653232475715746,0.6653232475715746,0.6653232475715746,0.0
182539,0.9813836093376402,1,0,confidence_lock,3.9100546836853027,0.5907741265202943,0.5544337347536628,0.5544337347536628,0.5544337347536628,0.0
1113437,0.9785481622737185,0,0,none,3.9118247032165527,0.03889183284266657,0.29400768230399404,0.29400768230399404,0.29400768230399404,0.0
1129237,0.9812254620270362,1,1,ce_blend(alpha=0.60),3.910789966583252,0.0932333384756686,0.5597986203687503,0.5597986203687503,0.5597986203687503,0.0
146187,0.9834303749758216,1,1,ce_blend(alpha=0.60),3.9096851348876953,0.33146678987124173,0.8157897264467704,0.8157897264467704,0.801714395979678,-0.014075330467092417
